train/samples,train/episodes,train/grad_norm,train/lr,train/update_s,_step,train/epochs,train/loss,train/dataloading_s,_runtime,train/steps,_timestamp
435200,1225.0444636529437,0.3290522841364145,3.014816374382023e-06,6.193301886936824,27200,1.969524861178366,0.012406076304614544,0.020342708168609534,168647.421368637,27200,1787312977.375589
438400,1234.0521435327448,0.3293412376195192,2.9467291610758076e-06,6.197102592326992,27400,1.9840066616282068,0.01824859157204628,0.020324734290479683,169890.62808547,27400,1787314221.7270617
441600,1243.0598234125457,0.32450668975710867,2.8833806194109815e-06,6.191456435941218,27600,1.9984884620780479,0.016843006014823914,0.020320982840494252,171130.763009338,27600,1787315464.9338005
444800,1252.0675032923468,0.31415704265236855,2.8247985361516124e-06,6.166198384735908,27800,2.012970262527889,0.007913672365248203,0.030168975444685203,172372.903086855,27800,1787316705.0682442
448000,1261.075183172148,0.31376351311802864,2.771008607335571e-06,6.185932159304212,28000,2.0274520629777295,0.020207082852721214,0.020406401478976478,173617.136973111,28000,1787317947.208861
451200,1270.082863051949,0.3145657280087471,2.722034427003411e-06,6.196462329970091,28200,2.0419338634275706,0.019586609676480293,0.02037030476378277,174858.119555277,28200,1787319191.442619
454400,1279.09054293175,0.3141878441721201,2.6778974768492373e-06,6.1803059711828245,28400,2.0564156638774116,0.013649443164467812,0.02031163778854534,176099.993254577,28400,1787320432.4251819
457600,1288.098222811551,0.3156656587868929,2.6386171167981255e-06,6.184718917218852,28600,2.0708974643272526,0.03298461064696312,0.020361435182858257,177348.09601414,28600,1787321674.298855
460800,1297.1059026913522,0.32538682632148264,2.6042105765142263e-06,6.215798519414093,28800,2.0853792647770932,0.01166208554059267,0.020368929309479426,178590.230287166,28800,1787322922.4014466
464000,1306.1135825711533,0.32551382154226305,2.5746929478432522e-06,6.186009742932219,29000,2.0998610652269343,0.016476638615131378,0.02035397295927396,179834.085241091,29000,1787324164.53596
467200,1315.1212624509542,0.3212149105966091,2.5500771781927046e-06,6.194662769194983,29200,2.1143428656767753,0.011696644127368927,0.02031430700881174,181078.797338042,29200,1787325408.390831
470400,1324.1289423307553,0.32691330291330817,2.5303740648527143e-06,6.198968337267579,29400,2.1288246661266164,0.018214989453554153,0.02031235768838087,182323.644274935,29400,1787326653.1025298
473600,1333.1366222105564,0.3290642912685871,2.5155922502599817e-06,6.199658507826971,29600,2.143306466576457,0.014052949845790863,0.02029680707521038,183567.392943761,29600,1787327897.950076
476800,1342.1443020903573,0.32127610184252264,2.5057382182069343e-06,6.194103870891268,29800,2.157788267026298,0.017638999968767166,0.020340695798804518,184810.990107769,29800,1787329141.6985364
480000,1351.1519819701584,0.3214448903501034,2.5008162909977085e-06,6.193340177433856,30000,2.172270067476139,0.01891360618174076,0.02035783759172773,184880.668643503,30000,1787330385.2957742
