memory_percent,proc.memory.percent,cpu,proc.cpu.threads,disk./.usagePercent,disk./.usageGB,disk.nvme0n1p2.in,disk.nvme0n1p2.out,network.sent,network.recv,proc.memory.availableMB,proc.memory.rssMB,_timestamp,gpu.0.gpu,gpu.0.memory,gpu.0.memoryAllocated,gpu.0.memoryAllocatedBytes,gpu.0.temp,gpu.0.powerWatts,gpu.0.enforcedPowerLimitWatts,gpu.0.powerPercent,gpu.0.smClock,gpu.0.memoryClock,gpu.0.correctedMemoryErrors,gpu.0.uncorrectedMemoryErrors,gpu.0.fanSpeed,gpu.1.gpu,gpu.1.memory,gpu.1.memoryAllocated,gpu.1.memoryAllocatedBytes,gpu.1.temp,gpu.1.powerWatts,gpu.1.enforcedPowerLimitWatts,gpu.1.powerPercent,gpu.1.smClock,gpu.1.memoryClock,gpu.1.correctedMemoryErrors,gpu.1.uncorrectedMemoryErrors,gpu.1.fanSpeed
,,,,,,,,,,,,1787145919.3086944,100.0,66,86.79764152991231,41928294400,89.0,282.75,300.0,94.25,1485,7601,0,0,81,0.0,0,0.032424893635495354,15663104,56.0,31.006,300.0,10.335333333333335,210,405,0,0,30
5.461365564363466,1.9660393713035371,3.2752959206278653,71,90.59168130561604,1612.8275604248047,0.859375,41.41796875,3005089.0,5809813.0,486432.12109375,10115.9140625,1787145919.3094108,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145934.3082006,100.0,73,86.79764152991231,41928294400,89.0,284.486,300.0,94.82866666666666,1470,7601,0,0,82,0.0,0,0.032424893635495354,15663104,56.0,24.289,300.0,8.096333333333334,210,405,0,0,30
5.456483251301338,1.9660393713035371,3.227808064200745,71,90.59168623381572,1612.8276481628418,0.859375,45.109375,3098844.0,6060218.0,486457.2421875,10115.9140625,1787145934.3100748,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145949.3084154,100.0,67,86.79764152991231,41928294400,89.0,279.791,300.0,93.26366666666667,1485,7601,0,0,82,0.0,0,0.032424893635495354,15663104,56.0,22.939,300.0,7.646333333333333,210,405,0,0,30
5.4733545999531295,1.9660393713035371,3.184322566663967,71,90.59168644808528,1612.827651977539,0.859375,45.68359375,3149407.0,6214870.0,486370.43359375,10115.9140625,1787145949.3103678,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145964.3084943,100.0,79,86.79764152991231,41928294400,89.0,285.761,300.0,95.25366666666667,1500,7601,0,0,82,0.0,0,0.032424893635495354,15663104,56.0,23.253,300.0,7.7509999999999994,210,405,0,0,30
5.516038967797178,1.9660393713035371,3.143779866751204,71,90.59169137628498,1612.8277397155762,0.859375,46.62109375,3247908.0,6481737.0,486150.80859375,10115.9140625,1787145964.3110669,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145979.308139,100.0,68,86.79764152991231,41928294400,89.0,277.375,300.0,92.45833333333333,1485,7601,0,0,83,0.0,0,0.032424893635495354,15663104,56.0,23.209,300.0,7.736333333333333,210,405,0,0,30
5.514098493191861,1.9660393713035371,3.1065488356469166,71,90.59160802542921,1612.8262557983398,0.859375,47.453125,3345439.0,6764446.0,486160.79296875,10115.9140625,1787145979.3089929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145994.3078918,100.0,78,86.79764152991231,41928294400,89.0,283.378,300.0,94.45933333333333,1590,7601,0,0,83,0.0,0,0.032424893635495354,15663104,56.0,23.042,300.0,7.680666666666667,210,405,0,0,30
5.506132374242878,1.9660393713035371,3.0715246001167724,71,90.59160845396832,1612.8262634277344,0.859375,48.046875,3390133.0,6909408.0,486201.78125,10115.9140625,1787145994.3098474,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146009.3079093,100.0,100,86.79764152991231,41928294400,89.0,279.494,300.0,93.16466666666668,1815,7601,0,0,83,0.0,0,0.032424893635495354,15663104,56.0,23.109,300.0,7.703,210,405,0,0,30
5.508540506264814,1.9660393713035371,3.0388473830397325,71,90.59161402497668,1612.8263626098633,0.859375,53.19921875,3531621.0,7215800.0,486189.390625,10115.9140625,1787146009.3091261,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146024.3080213,100.0,64,86.79764152991231,41928294400,89.0,291.255,300.0,97.085,1485,7601,0,0,83,0.0,0,0.032424893635495354,15663104,56.0,22.968,300.0,7.656000000000001,210,405,0,0,30
5.514329285163698,1.9660393713035371,3.008706408356595,71,90.59161466778534,1612.826374053955,0.859375,53.8125,3571427.0,7382756.0,486159.60546875,10115.9140625,1787146024.3091364,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146039.3079288,100.0,71,86.79764152991231,41928294400,89.0,288.718,300.0,96.23933333333335,1500,7601,0,0,83,1.0,0,0.032424893635495354,15663104,56.0,23.096,300.0,7.698666666666666,210,405,0,0,30
5.515151481563369,1.9660393713035371,2.980110907529257,71,90.59161981025458,1612.8264656066895,0.859375,57.0390625,3735090.0,7727382.0,486155.375,10115.9140625,1787146039.30888,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146054.3076172,100.0,72,86.79764152991231,41928294400,89.0,291.054,300.0,97.01799999999999,1545,7601,0,0,83,0.0,0,0.032424893635495354,15663104,57.0,26.389,300.0,8.796333333333333,210,405,0,0,30
5.553373365162482,1.9660393713035371,2.953382690689528,71,90.59162495272383,1612.8265571594238,0.859375,61.67578125,3832228.0,7967342.0,485958.7109375,10115.9140625,1787146054.309918,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146069.3076496,100.0,81,86.79764152991231,41928294400,89.0,286.274,300.0,95.42466666666667,1500,7601,0,0,83,0.0,0,0.032424893635495354,15663104,57.0,31.375,300.0,10.458333333333334,210,405,0,0,30
5.542835889606217,1.9660393713035371,2.928241236347082,71,90.59162559553249,1612.8265686035156,0.859375,62.35546875,3876148.0,8114790.0,486012.9296875,10115.9140625,1787146069.3089707,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146084.3078828,100.0,71,86.79764152991231,41928294400,89.0,283.964,300.0,94.65466666666667,1530,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,24.379,300.0,8.126333333333333,210,405,0,0,30
